,date,Inflation,Output_Gap,Interest_Rate,Omega_Psi
43,2032-04-01,0.207567,0.8152347,30.0,0.19965786
44,2032-07-01,0.22333159,0.9022439,11.701488,0.0
45,2032-10-01,0.24119811,1.0,0.0,0.7815685
46,2033-01-01,0.2679979,0.94639075,10.2734375,0.0
47,2033-04-01,0.28008407,0.9295668,18.830727,0.6339207
48,2033-07-01,0.28008407,0.9112862,30.0,0.29377842
49,2033-10-01,0.23436679,0.89583904,30.0,0.45652017
50,2034-01-01,0.20546505,0.8193545,4.0912924,0.2613498
51,2034-04-01,0.20599054,0.8056821,5.2306805,0.09743753
52,2034-07-01,0.23331581,0.7770878,30.0,0.3523913
53,2034-10-01,0.26169208,0.840305,10.48196,1.0
54,2035-01-01,0.31529164,0.8798193,0.7940072,0.0
55,2035-04-01,0.30005255,0.855193,9.979877,0.0
56,2035-07-01,0.3126642,0.80362797,2.7329402,1.0
57,2035-10-01,0.35312665,0.83951455,29.786402,0.35345662
58,2036-01-01,0.46400422,0.7888448,9.757711,0.0
59,2036-04-01,0.47714135,0.7679943,13.586501,0.82217455
60,2036-07-01,0.4676826,0.6692942,13.593111,0.23585054
61,2036-10-01,0.40409878,0.59884214,16.548237,0.13210246
62,2037-01-01,0.3962165,0.55237246,2.8506992,0.3726083
63,2037-04-01,0.32685235,0.5617149,14.855911,0.052697033
64,2037-07-01,0.25380978,0.43401948,6.5599027,1.0
65,2037-10-01,0.19127694,0.5634839,30.0,0.93893594
66,2038-01-01,0.25433525,0.5421343,19.483349,0.14811367
67,2038-04-01,0.28796637,0.5388302,17.482115,1.0
68,2038-07-01,0.21387284,0.4955505,12.018482,0.0
69,2038-10-01,0.19758277,0.56390464,27.34967,0.36502028
70,2039-01-01,0.2306884,0.6660276,18.088375,0.79922783
71,2039-04-01,0.25223333,0.67887604,9.118248,0.5364214
72,2039-07-01,0.27640566,0.7434665,20.901262,0.71390927
73,2039-10-01,0.36889124,0.86397856,18.232428,0.21710792
74,2040-01-01,0.4424593,0.88275886,14.693095,1.0
75,2040-04-01,0.5627956,0.783566,29.225271,0.0
76,2040-07-01,0.51918024,0.7891242,20.10914,1.0
77,2040-10-01,0.48765108,0.66549045,14.981395,0.31893414
78,2041-01-01,0.62322646,0.6212191,12.310878,0.42238992
79,2041-04-01,0.5922228,0.49632218,30.0,0.4976293
80,2041-07-01,0.4445612,0.41292053,14.451852,1.0
81,2041-10-01,0.2874409,0.27611095,22.7507,1.0
82,2042-01-01,0.28796637,0.2709247,15.077593,1.0
83,2042-04-01,0.32422492,0.3322595,0.0,0.6221864
84,2042-07-01,0.26957434,0.3702476,29.29135,0.0
85,2042-10-01,0.25065684,0.47003278,30.0,0.32274053
86,2043-01-01,0.28428796,0.46818706,10.455026,0.1135816
87,2043-04-01,0.27220178,0.45302537,11.630926,0.0
88,2043-07-01,0.24067262,0.44951978,17.064682,0.8707882
89,2043-10-01,0.24277456,0.47590998,18.46372,0.33921778
90,2044-01-01,0.2795586,0.5525789,3.9673116,0.32008213
91,2044-04-01,0.31897005,0.6198079,10.568934,0.614548
92,2044-07-01,0.34104046,0.5612108,23.360851,0.5300378
93,2044-10-01,0.35312665,0.5241011,0.0,0.48342252
94,2045-01-01,0.395691,0.7299011,10.727075,0.9224342
95,2045-04-01,0.44035733,0.7388969,2.1019676,1.0
96,2045-07-01,0.52338415,0.7710655,17.950113,1.0
97,2045-10-01,0.52653706,0.7190915,10.154621,0.32240173
98,2046-01-01,0.5370468,0.6645992,30.0,0.7011918
99,2046-04-01,0.5969522,0.6584744,12.3989725,0.43740278
100,2046-07-01,0.7204414,0.62226456,2.6687095,0.0
101,2046-10-01,0.89963216,0.5960382,6.448331,0.24917158
102,2047-01-01,0.49395692,0.41099262,17.908272,0.3757631
103,2047-04-01,0.56752497,0.3677949,4.01208,0.0
104,2047-07-01,0.9894903,0.45683575,14.437157,0.16700146
105,2047-10-01,0.76878613,0.5496453,0.0,0.20615122
106,2048-01-01,1.0,0.4542754,28.611843,0.331002
107,2048-04-01,0.830268,0.48972774,26.100769,0.17981651
108,2048-07-01,0.6463479,0.36685926,25.484455,0.5246945
109,2048-10-01,0.7677352,0.213812,22.95785,0.09638873
110,2049-01-01,0.7398844,0.19540718,0.45788616,0.67758757
111,2049-04-01,0.53809774,0.1215157,1.6973591,0.79841137
112,2049-07-01,0.46663162,0.07477671,18.758053,1.0
113,2049-10-01,0.45717287,0.110151775,9.89915,0.16168979
114,2050-01-01,0.4682081,0.20584115,10.02764,0.0
115,2050-04-01,0.49290594,0.28331596,14.717116,0.0
116,2050-07-01,0.49395692,0.36588523,12.508377,0.95813364
117,2050-10-01,0.5170783,0.42167804,29.446823,1.0
